date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,10,7,0.0,3.9,2,34,04:10 AM,02:22 PM,09:06 AM,05:02 PM,5,6,8,6,17,54,81,0.3,1035,10,10,227,12,london
2019-01-02,6,4,0.0,5.8,2,27,05:21 AM,02:50 PM,09:06 AM,05:03 PM,0,2,5,2,13,23,74,0.0,1043,6,10,269,10,london
2019-01-03,5,2,0.0,3.9,1,20,06:28 AM,03:22 PM,09:06 AM,05:04 PM,-0,2,4,2,7,33,75,0.0,1043,5,10,56,5,london
2019-01-04,3,2,0.0,3.9,1,13,07:32 AM,04:00 PM,09:06 AM,05:05 PM,-1,1,3,1,8,33,76,0.0,1042,3,10,277,6,london
2019-01-05,6,3,0.0,3.9,1,6,08:29 AM,04:46 PM,09:05 AM,05:06 PM,2,2,4,2,12,65,83,0.1,1039,6,10,298,9,london
2019-01-06,8,5,0.0,2.0,2,0,09:18 AM,05:38 PM,09:05 AM,05:08 PM,4,4,6,4,12,91,87,0.1,1036,8,9,294,8,london
2019-01-07,10,5,0.0,3.9,2,7,10:00 AM,06:36 PM,09:05 AM,05:09 PM,6,5,7,5,23,66,91,0.2,1032,10,7,263,15,london
2019-01-08,8,6,0.0,5.8,3,14,10:33 AM,07:38 PM,09:04 AM,05:10 PM,3,4,7,4,26,22,75,0.0,1028,8,10,321,18,london
2019-01-09,6,3,0.0,2.0,1,21,11:02 AM,08:41 PM,09:04 AM,05:12 PM,-0,1,4,1,26,33,72,0.0,1029,6,10,346,18,london
2019-01-10,5,2,0.0,2.0,1,27,11:26 AM,09:46 PM,09:03 AM,05:13 PM,1,1,4,1,13,78,81,0.1,1030,5,9,321,9,london
2019-01-11,8,6,0.0,5.8,2,34,11:47 AM,10:51 PM,09:03 AM,05:14 PM,5,4,6,4,13,72,89,0.2,1030,8,7,319,9,london
2019-01-12,9,6,0.0,2.0,2,41,12:07 PM,11:58 PM,09:02 AM,05:16 PM,5,5,8,5,27,90,84,0.4,1023,9,9,278,18,london
2019-01-13,11,9,0.0,2.0,3,48,12:26 PM,No moonset,09:01 AM,05:17 PM,6,7,10,7,37,89,77,0.1,1014,11,10,293,25,london
2019-01-14,9,6,0.0,2.0,2,55,12:46 PM,01:05 AM,09:01 AM,05:19 PM,3,5,8,5,23,51,71,0.1,1020,9,10,304,16,london
2019-01-15,8,5,0.0,5.0,2,61,01:08 PM,02:14 AM,09:00 AM,05:20 PM,4,4,7,4,20,61,85,0.0,1019,8,10,245,13,london
2019-01-16,10,6,0.0,3.2,2,68,01:33 PM,03:27 AM,08:59 AM,05:22 PM,5,6,9,6,30,84,81,0.7,1006,10,9,237,20,london
2019-01-17,5,4,0.1,8.7,1,75,02:05 PM,04:41 AM,08:58 AM,05:24 PM,-2,1,5,1,23,29,66,1.4,1010,5,9,311,17,london
2019-01-18,6,2,0.0,5.1,1,82,02:45 PM,05:57 AM,08:57 AM,05:25 PM,-3,1,4,1,18,72,63,0.0,1017,6,10,189,12,london
